vehicle_id,timestamp,lat,lng,speed_kmh,fuel_level_pct,engine_on,idle_minutes,hour,day_of_week,is_working_hour,zone_distance_deg,is_anomaly,anomaly_type
LG-1000,2025-01-01 06:37:00,6.48866,3.364282,0.1,86.5,1,98,6,2,0,0.0121,1,excessive_idle
LG-1000,2025-01-01 09:23:00,6.505262,3.338193,41.0,79.6,0,0,9,2,1,0.02077,0,normal
LG-1000,2025-01-01 09:29:00,6.784659,3.746429,46.5,59.2,1,0,2,2,0,0.39058,1,private_use
LG-1000,2025-01-01 10:20:00,6.504927,3.316758,37.7,76.4,1,2,10,2,1,0.04167,0,normal
LG-1000,2025-01-01 10:27:00,6.604757,3.327104,58.3,65.0,1,0,10,2,1,0.02025,0,normal
LG-1000,2025-01-01 13:24:00,6.595736,3.331666,24.3,59.5,1,0,13,2,1,0.01621,0,normal
LG-1000,2025-01-01 13:35:00,6.486151,3.38232,55.5,69.9,1,5,13,2,1,0.02751,0,normal
LG-1000,2025-01-01 15:45:00,6.447001,3.398672,58.3,49.5,1,0,15,2,1,0.0088,0,normal
LG-1000,2025-01-01 20:38:00,6.432567,3.409956,1.3,38.4,0,0,20,2,0,0.01195,0,normal
LG-1000,2025-01-01 21:39:00,6.414016,3.002077,67.5,64.0,0,5,21,2,0,0.36593,1,route_deviation
LG-1000,2025-01-01 23:00:00,6.493588,3.38375,0.4,36.0,0,5,23,2,0,0.02631,0,normal
LG-1000,2025-01-01 23:58:00,6.519743,3.361025,0.3,37.8,0,5,23,2,0,0.02096,0,normal
LG-1000,2025-01-02 00:19:00,6.629233,3.344454,2.7,81.5,0,0,0,3,0,0.02835,0,normal
LG-1000,2025-01-02 02:27:00,6.436471,3.421318,2.1,10.2,1,79,2,3,0,0.00848,1,fuel_theft
LG-1000,2025-01-02 03:36:00,6.620605,3.352279,1.6,100.0,0,0,3,3,0,0.0203,0,normal
LG-1000,2025-01-02 03:39:00,6.398395,3.436905,1.3,69.0,0,0,3,3,0,0.03361,0,normal
LG-1000,2025-01-02 05:55:00,6.471338,3.414915,0.2,65.7,0,0,5,3,0,0.02576,0,normal
LG-1000,2025-01-02 06:48:00,6.461361,3.50763,1.8,81.3,1,147,6,3,0,0.01482,1,excessive_idle
LG-1000,2025-01-02 09:17:00,6.580377,3.343427,13.0,59.5,1,0,9,3,1,0.02093,0,normal
LG-1000,2025-01-02 09:55:00,6.58414,3.353599,50.1,64.1,1,0,9,3,1,0.0181,0,normal
LG-1000,2025-01-02 10:36:00,6.495904,3.518619,15.5,60.0,1,0,10,3,1,0.03109,0,normal
LG-1000,2025-01-02 10:42:00,6.599363,3.343207,61.5,84.6,1,2,10,3,1,0.00413,0,normal
LG-1000,2025-01-02 11:49:00,6.462457,3.397136,46.4,70.0,1,0,11,3,1,0.00776,0,normal
LG-1000,2025-01-02 11:58:00,6.431956,3.421787,52.8,53.9,1,5,11,3,1,0.00403,0,normal
LG-1000,2025-01-02 12:40:00,6.437599,3.443101,58.8,72.1,1,0,12,3,1,0.0241,0,normal
LG-1000,2025-01-02 16:39:00,6.488131,3.345194,33.4,73.0,1,0,16,3,1,0.0168,0,normal
LG-1000,2025-01-02 16:56:00,6.494316,3.334216,20.9,48.5,1,0,16,3,1,0.02424,0,normal
LG-1000,2025-01-02 18:20:00,6.463361,3.393265,24.7,65.7,1,2,18,3,1,0.00854,0,normal
LG-1000,2025-01-02 20:46:00,6.59101,3.338738,1.7,39.4,0,0,20,3,0,0.01296,0,normal
LG-1000,2025-01-02 20:56:00,6.489759,3.37338,0.8,68.2,0,0,20,3,0,0.01794,0,normal
LG-1000,2025-01-02 22:05:00,6.471305,3.534385,1.0,12.6,1,82,22,3,0,0.0139,1,fuel_theft
LG-1000,2025-01-02 22:32:00,6.466362,3.531072,3.0,17.8,1,75,22,3,0,0.00917,1,fuel_theft
LG-1000,2025-01-03 03:25:00,6.439503,3.402629,0.6,71.7,0,0,3,4,0,0.01727,0,normal
LG-1000,2025-01-03 03:56:00,6.465547,3.491526,3.2,87.5,0,8,3,4,0,0.03048,0,normal
LG-1000,2025-01-03 05:42:00,6.497502,3.366578,1.7,83.6,0,8,5,4,0,0.00871,0,normal
LG-1000,2025-01-03 05:45:00,6.461165,3.406738,0.2,74.0,0,8,5,4,0,0.01326,0,normal
LG-1000,2025-01-03 07:59:00,6.591453,3.351816,14.4,67.9,0,0,7,4,1,0.01069,0,normal
LG-1000,2025-01-03 08:04:00,6.455639,3.393699,55.6,82.1,1,0,8,4,1,0.00145,0,normal
LG-1000,2025-01-03 08:30:00,6.481351,3.345438,46.0,91.8,1,0,8,4,1,0.02166,0,normal
LG-1000,2025-01-03 10:25:00,6.803335,3.731959,31.9,84.3,1,5,23,4,0,0.39819,1,private_use
LG-1000,2025-01-03 11:32:00,6.487719,3.361332,58.2,68.3,1,0,11,4,1,0.01176,0,normal
LG-1000,2025-01-03 12:27:00,6.47074,3.38486,50.4,59.4,1,2,12,4,1,0.01872,0,normal
LG-1000,2025-01-03 12:28:00,6.506648,3.356422,53.0,63.6,1,0,12,4,1,0.00781,0,normal
LG-1000,2025-01-03 16:54:00,6.582849,3.381965,34.7,37.9,1,0,16,4,1,0.0394,0,normal
LG-1000,2025-01-03 17:50:00,6.469644,3.530843,21.4,52.9,1,5,17,4,1,0.00999,0,normal
LG-1000,2025-01-03 18:07:00,6.437773,3.430324,51.4,70.4,1,0,18,4,1,0.01351,0,normal
LG-1000,2025-01-03 19:21:00,6.594894,3.342735,3.3,45.7,0,0,19,4,0,0.00745,0,normal
LG-1000,2025-01-03 22:03:00,6.422077,3.526534,4.0,71.9,0,2,22,4,0,0.04316,0,normal
LG-1000,2025-01-03 22:38:00,6.459305,3.494957,3.4,49.7,0,0,22,4,0,0.02764,0,normal
LG-1000,2025-01-03 22:52:00,6.467599,3.398554,1.3,50.0,0,0,22,4,0,0.01309,0,normal
LG-1000,2025-01-03 23:25:00,6.466286,3.412112,4.4,32.0,0,0,23,4,0,0.0205,0,normal
LG-1000,2025-01-04 00:02:00,6.497637,3.357538,2.6,94.4,0,0,0,5,0,0.00144,0,normal
LG-1000,2025-01-04 00:39:00,6.612257,3.361108,0.5,100.0,0,2,0,5,0,0.01805,0,normal
LG-1000,2025-01-04 01:04:00,6.491337,3.341894,4.8,81.9,0,0,1,5,0,0.01784,0,normal
LG-1000,2025-01-04 02:49:00,6.60208,3.32757,2.5,89.5,0,0,2,5,0,0.01946,0,normal
LG-1000,2025-01-04 03:30:00,6.493038,3.358843,2.6,62.9,0,0,3,5,0,0.00602,0,normal
LG-1000,2025-01-04 05:26:00,6.490606,3.364976,3.5,73.9,0,0,5,5,0,0.01091,0,normal
LG-1000,2025-01-04 06:44:00,6.485351,3.510825,1.7,74.7,0,0,6,5,0,0.02322,0,normal
LG-1000,2025-01-04 07:47:00,6.524313,3.369732,1.7,81.4,0,0,7,5,0,0.0279,0,normal
LG-1000,2025-01-04 08:46:00,6.468475,3.536478,52.0,64.6,1,8,8,5,1,0.01489,0,normal
LG-1000,2025-01-04 09:31:00,6.508834,3.341731,13.9,83.3,0,0,9,5,1,0.01901,0,normal
LG-1000,2025-01-04 10:40:00,6.453892,3.537136,42.8,63.2,1,0,10,5,1,0.01877,0,normal
LG-1000,2025-01-04 12:24:00,6.471858,3.393586,57.7,66.2,1,0,12,5,1,0.01692,0,normal
LG-1000,2025-01-04 13:21:00,6.494505,3.339751,59.4,54.5,1,0,13,5,1,0.01879,0,normal
LG-1000,2025-01-04 15:24:00,6.397387,3.425774,3.4,59.7,0,12,15,5,0,0.03098,0,normal
LG-1000,2025-01-04 15:35:00,6.590516,3.331794,1.3,68.4,0,0,15,5,0,0.01847,0,normal
LG-1000,2025-01-04 16:57:00,6.438149,3.411327,2.4,12.8,1,43,16,5,0,0.01402,1,fuel_theft
LG-1000,2025-01-04 20:39:00,6.462006,3.504781,0.7,62.3,0,2,20,5,0,0.01748,0,normal
LG-1000,2025-01-04 21:32:00,6.506057,3.368023,1.4,36.5,0,0,21,5,0,0.01226,0,normal
LG-1000,2025-01-04 21:57:00,6.59367,3.368099,0.4,45.7,0,0,21,5,0,0.02234,0,normal
LG-1000,2025-01-05 00:49:00,6.448697,3.439143,3.9,99.8,0,2,0,6,0,0.02752,0,normal
LG-1000,2025-01-05 01:09:00,6.43475,3.42945,4.4,96.0,0,0,1,6,0,0.01081,0,normal
LG-1000,2025-01-05 04:25:00,6.44414,3.543581,3.2,63.0,0,0,4,6,0,0.03001,0,normal
LG-1000,2025-01-05 05:15:00,6.453804,3.421963,2.9,63.9,0,5,5,6,0,0.02582,0,normal
LG-1000,2025-01-05 06:34:00,6.605394,3.323167,0.7,64.0,0,0,6,6,0,0.02424,0,normal
LG-1000,2025-01-05 07:40:00,6.470175,3.391314,4.2,62.5,0,0,7,6,0,0.01562,0,normal
LG-1000,2025-01-05 11:46:00,6.61168,3.329278,4.1,58.7,0,0,11,6,0,0.02069,0,normal
LG-1000,2025-01-05 11:50:00,6.465584,3.509324,2.8,63.9,0,0,11,6,0,0.01269,0,normal
LG-1000,2025-01-05 12:30:00,6.418191,3.42423,0.3,63.0,1,193,12,6,0,0.01033,1,excessive_idle
LG-1000,2025-01-05 13:47:00,6.486308,3.361545,1.5,80.7,0,5,13,6,0,0.01318,0,normal
LG-1000,2025-01-05 15:14:00,6.426804,3.39569,0.4,44.0,0,5,15,6,0,0.02534,0,normal
LG-1000,2025-01-05 16:30:00,6.769181,3.634955,37.5,76.7,1,0,22,6,0,0.32448,1,private_use
LG-1000,2025-01-05 17:38:00,6.478652,3.526259,4.5,71.6,0,0,17,6,0,0.0143,0,normal
LG-1000,2025-01-05 20:10:00,6.416809,3.402245,1.5,57.2,0,0,20,6,0,0.02184,0,normal
LG-1000,2025-01-05 20:10:00,6.607766,3.343079,4.0,69.1,0,0,20,6,0,0.00782,0,normal
LG-1000,2025-01-05 20:20:00,6.777787,3.614324,70.3,58.6,1,5,22,6,0,0.32049,1,private_use
LG-1000,2025-01-05 21:15:00,6.476851,3.500674,1.1,42.4,0,5,21,6,0,0.0244,0,normal
LG-1000,2025-01-05 21:36:00,6.587272,3.36171,1.0,58.4,0,0,21,6,0,0.02012,0,normal
LG-1000,2025-01-05 22:17:00,6.44964,3.374569,1.1,35.4,0,8,22,6,0,0.02112,0,normal
